,PSNR,CPL,CS,SSIM,MSE,WD,KL,TSI,VAE,Hist_correlation,Hist_intersection,VIF
PSNR,0.0,7.719068939603598e-124,3.448749080028636e-182,2.7276066823353043e-171,8.90186902078757e-25,0.0,0.5510450222775638,3.700723910735944e-43,8.201582627445658e-08,2.611064324450015e-196,2.8171608673720268e-241,1.612376423565496e-213
CPL,7.719068939603598e-124,0.0,1.1602740508412566e-104,8.850253170847727e-52,5.635396813664267e-13,9.937303639692844e-66,0.6837171289145394,6.153888856948542e-16,3.345583045588754e-29,9.464851260339745e-13,7.107201475081957e-28,7.881100405366942e-97
CS,3.448749080028636e-182,1.1602740508412566e-104,0.0,3.3969670851326534e-216,0.4165501207519721,3.9721923165981005e-107,0.392025202002281,5.219840721426689e-80,3.5711194871773075e-16,1.8595213592566387e-70,1.958876972613999e-140,3.404757536561116e-195
SSIM,2.7276066823353043e-171,8.850253170847727e-52,3.3969670851326534e-216,0.0,0.9457333257677479,5.463613035996652e-207,3.138347773739178e-06,7.00744381712001e-220,1.9691178931988734e-33,2.944420893010103e-116,0.0,7.227569339416985e-253
MSE,8.90186902078757e-25,5.635396813664267e-13,0.4165501207519721,0.9457333257677479,0.0,2.6486860694588476e-69,2.1007193762765586e-37,5.612640417193368e-27,1.0439463552849998e-55,8.509139602264625e-20,1.520697346663854e-07,8.023225858996586e-16
WD,0.0,9.937303639692844e-66,3.9721923165981005e-107,5.463613035996652e-207,2.6486860694588476e-69,0.0,0.7776868748950134,7.087146149946398e-42,0.0033400155787653893,4.399725125830774e-284,0.0,1.5228066732976478e-138
KL,0.5510450222775638,0.6837171289145394,0.392025202002281,3.138347773739178e-06,2.1007193762765586e-37,0.7776868748950134,0.0,3.073341505342011e-54,8.835995646869907e-19,0.0012230648938679081,9.16080748204851e-06,1.0604930253902288e-06
TSI,3.700723910735944e-43,6.153888856948542e-16,5.219840721426689e-80,7.00744381712001e-220,5.612640417193368e-27,7.087146149946398e-42,3.073341505342011e-54,0.0,6.721946292036383e-82,4.9095507949368177e-33,1.1871586041972723e-115,2.01738212518645e-34
VAE,8.201582627445658e-08,3.345583045588754e-29,3.5711194871773075e-16,1.9691178931988734e-33,1.0439463552849998e-55,0.0033400155787653893,8.835995646869907e-19,6.721946292036383e-82,0.0,0.11710391429103024,2.3026022823596113e-23,0.008755005490900343
Hist_correlation,2.611064324450015e-196,9.464851260339745e-13,1.8595213592566387e-70,2.944420893010103e-116,8.509139602264625e-20,4.399725125830774e-284,0.0012230648938679081,4.9095507949368177e-33,0.11710391429103024,0.0,0.0,9.302292448448979e-56
Hist_intersection,2.8171608673720268e-241,7.107201475081957e-28,1.958876972613999e-140,0.0,1.520697346663854e-07,0.0,9.16080748204851e-06,1.1871586041972723e-115,2.3026022823596113e-23,0.0,0.0,2.203237633773641e-118
VIF,1.612376423565496e-213,7.881100405366942e-97,3.404757536561116e-195,7.227569339416985e-253,8.023225858996586e-16,1.5228066732976478e-138,1.0604930253902288e-06,2.01738212518645e-34,0.008755005490900343,9.302292448448979e-56,2.203237633773641e-118,0.0
